Index	Time	Speaker	Speech Segment	Open code(s)	Axial code(s)
1	"00:01:17"	"Speaker 1"	"Okay, so we're doing the standup tool."	"Goal validation"	"Team process"
2	"00:01:52"	"Speaker 4"	"Lucky Charm. That's the name I'm pitching."	"Chosen idea"	"Project"
3	"00:02:06"	"Speaker 2"	"Cute. What does it do?"	"Asking for idea clarification"	"Project"
4	"00:02:15"	"Speaker 4"	"Capture standup updates from meetings. Blockers, actions, decisions."	"Explanation of an idea"	"Project"
5	"00:02:29"	"Speaker 3"	"So you upload a transcript, it extracts structure?"	"Clarification of idea"	"Project"
6	"00:02:54"	"Speaker 4"	"Exactly. No verbatim quotes — Props compliant. Categories and themes only."	"Explanation of an idea"	"Project"
7	"00:03:21"	"Speaker 1"	"Privacy-first. Raw text stays in a TEE."	"Scoping"	"Design process"
8	"00:03:54"	"Speaker 2"	"TEE? Like trusted execution?"	"Asking for idea clarification"	"Project"
9	"00:04:17"	"Speaker 1"	"Yeah. Phala has enclave support. We'd run extraction there."	"Explanation of an idea"	"Project"
10	"00:04:28"	"Speaker 3"	"Output goes to a dashboard. Team lead view, member view."	"Expanding on idea"	"Project"
11	"00:04:52"	"Speaker 4"	"And we could export context for an LLM. Summary, rationale."	"Expanding on idea"	"Project"
12	"00:05:25"	"Speaker 2"	"I'm in. Who's doing what?"	"Task allocation"	"Team process"
13	"00:05:47"	"Speaker 1"	"I'll own backend and TEE integration."	"Role allocation"	"Team process"
14	"00:05:57"	"Speaker 3"	"Let me check."	""	""
15	"00:06:30"	"Speaker 2"	"I'm in."	""	""
16	"00:06:48"	"Speaker 4"	"Got it."	""	""
17	"00:07:10"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
18	"00:07:22"	"Speaker 3"	"Sounds good."	""	""
19	"00:07:42"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
20	"00:07:52"	"Speaker 1"	"Yeah."	""	""
21	"00:08:14"	"Speaker 4"	"We could also try that."	""	""
22	"00:08:26"	"Speaker 2"	"I'm in."	""	""
23	"00:08:58"	"Speaker 3"	"Sounds good."	""	""
24	"00:09:09"	"Speaker 4"	"We could also try that."	""	""
25	"00:09:31"	"Speaker 3"	"Let me check."	""	""
26	"00:10:03"	"Speaker 3"	"Sounds good."	""	""
27	"00:10:14"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
28	"00:10:41"	"Speaker 4"	"We could also try that."	""	""
29	"00:11:13"	"Speaker 2"	"OK."	""	""
30	"00:11:27"	"Speaker 3"	"Let me check."	""	""
31	"00:11:57"	"Speaker 2"	"OK."	""	""
32	"00:12:22"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
33	"00:12:42"	"Speaker 4"	"We could also try that."	""	""
34	"00:13:14"	"Speaker 2"	"OK."	""	""
35	"00:13:48"	"Speaker 2"	"I'm in."	""	""
36	"00:14:12"	"Speaker 3"	"Sounds good."	""	""
37	"00:14:23"	"Speaker 2"	"I'm in."	""	""
38	"00:14:50"	"Speaker 3"	"Sounds good."	""	""
39	"00:15:24"	"Speaker 1"	"Yeah."	""	""
40	"00:15:44"	"Speaker 1"	"Yeah."	""	""
