Index	Time	Speaker	Speech Segment	Open code(s)	Axial code(s)
1	"00:01:21"	"Speaker 1"	"Let's lock in the goals."	"Facilitation"	"Team process"
2	"00:01:29"	"Speaker 3"	"Goal one: capture blockers with categories."	"Scoping team goal"	"Team goal"
3	"00:01:56"	"Speaker 4"	"Goal two: action items with due dates and assignees."	"Scoping team goal"	"Team goal"
4	"00:02:21"	"Speaker 2"	"Goal three: key decisions and agreements."	"Scoping team goal"	"Team goal"
5	"00:02:48"	"Speaker 1"	"And output that's LLM-ready?"	"Asking for idea clarification"	"Project"
6	"00:02:58"	"Speaker 4"	"Yeah. Narrative summary, rationale, timeline. For ChatGPT or Claude."	"Explanation of an idea"	"Project"
7	"00:03:17"	"Speaker 3"	"So someone can paste context and get a standup recap."	"Validation of idea"	"Project"
8	"00:03:39"	"Speaker 2"	"Copy for LLM, Download JSON. Those features."	"Scoping team goal"	"Team goal"
9	"00:03:59"	"Speaker 1"	"One bank for demo, keep it simple."	"Scoping"	"Design process"
10	"00:04:17"	"Speaker 4"	"Agreed. Top 12 is the target."	"Team goal to win"	"Team goal"
11	"00:04:31"	"Speaker 3"	"Let's document this. Add to the README."	"Task allocation"	"Team process"
12	"00:05:03"	"Speaker 2"	"I'll draft the goals doc."	"Commitment"	"Team process"
13	"00:05:20"	"Speaker 3"	"Let me check."	""	""
14	"00:05:55"	"Speaker 4"	"Got it."	""	""
15	"00:06:11"	"Speaker 1"	"Yeah."	""	""
16	"00:06:24"	"Speaker 1"	"Yeah."	""	""
17	"00:06:37"	"Speaker 3"	"Sounds good."	""	""
18	"00:07:02"	"Speaker 2"	"OK."	""	""
19	"00:07:25"	"Speaker 4"	"We could also try that."	""	""
20	"00:07:58"	"Speaker 3"	"Let me check."	""	""
21	"00:08:07"	"Speaker 4"	"Got it."	""	""
22	"00:08:30"	"Speaker 1"	"Yeah."	""	""
23	"00:08:58"	"Speaker 1"	"Yeah."	""	""
24	"00:09:14"	"Speaker 3"	"Let me check."	""	""
25	"00:09:45"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
26	"00:10:04"	"Speaker 1"	"Yeah."	""	""
27	"00:10:39"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
28	"00:10:57"	"Speaker 1"	"Yeah."	""	""
29	"00:11:09"	"Speaker 4"	"We could also try that."	""	""
30	"00:11:24"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
31	"00:11:53"	"Speaker 3"	"Sounds good."	""	""
32	"00:12:13"	"Speaker 4"	"Got it."	""	""
33	"00:12:30"	"Speaker 3"	"Let me check."	""	""
34	"00:12:57"	"Speaker 3"	"Sounds good."	""	""
35	"00:13:23"	"Speaker 2"	"I'm in."	""	""
36	"00:13:50"	"Speaker 4"	"We could also try that."	""	""
37	"00:14:09"	"Speaker 2"	"I'm in."	""	""
38	"00:14:25"	"Speaker 3"	"Let me check."	""	""
39	"00:14:40"	"Speaker 2"	"I'm in."	""	""
40	"00:15:07"	"Speaker 1"	"Yeah."	""	""
