Index	Time	Speaker	Speech Segment	Open code(s)	Axial code(s)
1	"00:01:24"	"Speaker 1"	"Let's lock in the goals."	"Facilitation"	"Team process"
2	"00:01:43"	"Speaker 3"	"Goal one: capture blockers with categories."	"Scoping team goal"	"Team goal"
3	"00:02:03"	"Speaker 4"	"Goal two: action items with due dates and assignees."	"Scoping team goal"	"Team goal"
4	"00:02:38"	"Speaker 2"	"Goal three: key decisions and agreements."	"Scoping team goal"	"Team goal"
5	"00:02:50"	"Speaker 1"	"And output that's LLM-ready?"	"Asking for idea clarification"	"Project"
6	"00:03:03"	"Speaker 4"	"Yeah. Narrative summary, rationale, timeline. For ChatGPT or Claude."	"Explanation of an idea"	"Project"
7	"00:03:12"	"Speaker 3"	"So someone can paste context and get a standup recap."	"Validation of idea"	"Project"
8	"00:03:43"	"Speaker 2"	"Copy for LLM, Download JSON. Those features."	"Scoping team goal"	"Team goal"
9	"00:04:07"	"Speaker 1"	"One bank for demo, keep it simple."	"Scoping"	"Design process"
10	"00:04:21"	"Speaker 4"	"Agreed. Top 12 is the target."	"Team goal to win"	"Team goal"
11	"00:04:29"	"Speaker 3"	"Let's document this. Add to the README."	"Task allocation"	"Team process"
12	"00:04:40"	"Speaker 2"	"I'll draft the goals doc."	"Commitment"	"Team process"
13	"00:05:02"	"Speaker 3"	"Let me check."	""	""
14	"00:05:18"	"Speaker 4"	"We could also try that."	""	""
15	"00:05:48"	"Speaker 4"	"Got it."	""	""
16	"00:06:13"	"Speaker 2"	"I'm in."	""	""
17	"00:06:26"	"Speaker 3"	"Let me check."	""	""
18	"00:06:49"	"Speaker 4"	"Got it."	""	""
19	"00:07:02"	"Speaker 4"	"We could also try that."	""	""
20	"00:07:37"	"Speaker 1"	"Yeah."	""	""
21	"00:08:03"	"Speaker 1"	"Yeah."	""	""
22	"00:08:19"	"Speaker 3"	"Sounds good."	""	""
23	"00:08:49"	"Speaker 1"	"Yeah."	""	""
24	"00:09:18"	"Speaker 4"	"We could also try that."	""	""
25	"00:09:27"	"Speaker 2"	"I'm in."	""	""
26	"00:09:39"	"Speaker 3"	"Let me check."	""	""
27	"00:09:55"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
28	"00:10:04"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
29	"00:10:34"	"Speaker 3"	"Let me check."	""	""
30	"00:10:54"	"Speaker 2"	"OK."	""	""
31	"00:11:04"	"Speaker 3"	"Let me check."	""	""
32	"00:11:27"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
33	"00:11:56"	"Speaker 3"	"Sounds good."	""	""
34	"00:12:16"	"Speaker 4"	"Got it."	""	""
35	"00:12:34"	"Speaker 2"	"I'm in."	""	""
36	"00:13:04"	"Speaker 4"	"Got it."	""	""
37	"00:13:19"	"Speaker 3"	"Let me check."	""	""
38	"00:13:52"	"Speaker 3"	"Let me check."	""	""
39	"00:14:24"	"Speaker 3"	"Let me check."	""	""
40	"00:14:46"	"Speaker 1"	"What do you think?"	"Checking in with others"	"Team dynamics"
